,0
x02,6.425820257989471
x43,4.333858020351265
x15,-3.354178013344608
x06,-2.964856217979559
x12,-2.8969901204677626
x46,2.8207410699296673
x45,1.8308885864102202
x01,1.1769130848288114
x44,0.8849932337311301
x49,0.8746893239243447
x48,-0.734672563271225
x47,0.6422830969836681
x19,-0.527994889503816
x14,-0.20369124782487802
x32,0.16080147291348723
x28,-0.12970925317372206
x26,0.11863844977912663
x33,-0.11020364448040532
x21,-0.10679196925805456
x22,-0.08636068271023589
x27,-0.08555297716910903
x42,0.07709026286636345
x04,-0.07365095747852024
x05,-0.06348005540902335
x30,0.04325408901964245
x00,0.03375477562947682
x24,0.03352027553306769
x03,-0.028310518054667
x11,0.026445860772390972
x17,0.025518738823052445
x41,0.02079375322989563
x40,-0.01818155602460081
x39,0.01614216790723333
x25,0.015631296695779895
x09,0.015492337259766897
x29,0.012056743650290969
x31,0.010800771620034344
x07,0.010589219377479253
x34,0.009756926520361198
x37,0.008643700590897807
x13,-0.00861763116812142
x10,0.004576202373954175
x20,0.00411603712107933
x38,-0.0033153594666480712
x16,-0.0028864094892462333
x35,0.0028699699112815225
x23,0.001600091937444148
x18,-0.0005117679491103387
x08,-0.00039428379653827506
x36,0.00018049535254051167
