dim1,dim2,fault_id
0.6159658,-0.49052152,0
0.48692173,-1.4167683,0
0.33609855,-1.2198855,0
0.9201546,0.08871446,0
-1.1792701,0.01781366,0
0.46962112,-0.7272036,0
0.117727205,-1.1542908,0
0.79356617,1.4357461,0
-1.211462,-1.3058583,0
-0.065528505,-0.89316213,0
1.5189114,-1.0915555,0
0.64065486,0.013771957,0
0.44964308,0.13484737,0
-1.1760931,0.11581242,0
-0.08140602,-1.030278,0
-1.1194308,-1.2265605,0
0.044241734,-1.4896557,0
0.610005,-0.40300015,0
-0.16309418,-1.1135662,0
-0.8389893,0.9972174,0
-0.49134904,0.64796627,0
-1.1386484,-0.01278816,0
-0.61618435,-0.28801686,0
1.1616304,-0.5108718,0
0.32035214,0.7469987,0
-0.99622387,0.0356473,0
-2.6238523,-0.00015641046,0
0.24297369,0.75369006,0
-0.72350657,-0.426557,0
0.2566329,-0.7180404,0
-1.3679132,1.868973,1
-1.3914586,1.938319,1
-1.3879483,1.9329263,1
-1.3913194,1.939979,1
-1.3888491,1.9294536,1
-1.3953131,1.9423536,1
-1.3888453,1.934917,1
-1.3920759,1.9485841,1
-1.3683702,1.858381,1
-1.3878465,1.9338046,1
1.1295645,-0.30647075,1
-1.3926963,1.938749,1
-1.392145,1.9403024,1
-1.3915248,1.9326618,1
1.3515351,-0.3570071,1
-1.3804603,1.9085397,1
-1.1367767,1.5680408,1
-1.3907042,1.9376259,1
1.3532133,-0.37978348,1
-1.3843577,1.9123486,1
-1.3915209,1.9346154,1
-1.3917177,1.9406525,1
-1.3658054,1.8594372,1
-1.3925312,1.9445896,1
-1.3563726,1.910489,1
-1.3923483,1.941857,1
-1.3886495,1.9281077,1
-1.3870723,1.9373666,1
-1.3932501,1.9369478,1
0.25702932,-0.7187268,1
-0.9815799,-2.4131691,2
-1.2921141,-2.7978718,2
-1.2933415,-2.7954774,2
-1.3030269,-2.783662,2
-1.2984719,-2.799385,2
-1.3053771,-2.785817,2
-1.2944441,-2.7893872,2
-1.2963427,-2.7944467,2
-1.111931,-2.5203655,2
-1.2856629,-2.8000903,2
1.5204302,-1.1006362,2
-1.2933679,-2.7964818,2
-1.2981858,-2.7907372,2
-1.2985401,-2.7937253,2
-0.24082276,-1.3992699,2
-1.1441691,-2.60134,2
-0.63783467,-1.9935021,2
-1.2955612,-2.8127732,2
-0.26744962,-1.4652156,2
-1.303117,-2.8022025,2
-1.2928473,-2.7949758,2
-1.2596766,-2.784999,2
-1.0135429,-2.4150488,2
-1.2991626,-2.8045878,2
-1.2045859,-2.67074,2
-1.2818795,-2.7958393,2
-1.2981613,-2.7952695,2
-1.2880707,-2.7710605,2
-1.3037448,-2.803072,2
0.25766975,-0.72229457,2
0.6152694,-0.48740575,3
0.48722133,-1.41773,3
0.3358906,-1.2290465,3
0.9198624,0.08997521,3
-1.1791352,0.01787438,3
0.4723804,-0.7284343,3
0.11567747,-1.1541495,3
0.7917654,1.4323893,3
-1.2113514,-1.3063219,3
-0.06825114,-0.89959776,3
1.5187179,-1.088864,3
0.64143485,0.013159568,3
0.44854856,0.13656172,3
-1.1758918,0.11682885,3
-0.08160476,-1.0328392,3
-1.1220794,-1.2265382,3
0.045265198,-1.4910357,3
0.6119276,-0.40198955,3
-0.16551705,-1.1102443,3
-0.8384942,0.99467313,3
-0.49222782,0.6428748,3
-1.1395202,-0.012355269,3
-0.6151705,-0.287605,3
1.1610068,-0.5129543,3
0.32046372,0.74719536,3
-0.9958804,0.03568748,3
-2.621486,-0.004744914,3
0.2428227,0.7554677,3
-0.723474,-0.4263671,3
0.25574026,-0.72200006,3
0.61375505,-0.47811598,4
0.48721638,-1.4161415,4
0.33807695,-1.2198884,4
0.92004704,0.090033874,4
-1.1790713,0.019171512,4
0.4760993,-0.7279032,4
0.11634788,-1.1530181,4
0.79139256,1.434245,4
-1.2770914,-1.3059021,4
-0.06668228,-0.89151025,4
1.519267,-1.0890684,4
0.6408325,0.0128360465,4
0.4498164,0.1345343,4
-1.1760899,0.11687192,4
-0.080391206,-1.0308113,4
-1.1206737,-1.2256296,4
0.044570863,-1.4897642,4
0.6102249,-0.4048169,4
-0.16550565,-1.1171546,4
-0.8396578,0.9969294,4
-0.4922947,0.6396924,4
-1.1380689,-0.013137893,4
-0.6159766,-0.28720936,4
1.1614059,-0.51189184,4
0.31956378,0.75057733,4
-0.99542326,0.03546553,4
-2.6212723,0.0019785468,4
0.2419212,0.7553828,4
-0.7234602,-0.42666352,4
0.26130286,-0.72112405,4
0.6152574,-0.48255214,5
0.4870957,-1.419872,5
0.33613044,-1.2207351,5
0.92029536,0.08870488,5
-1.178526,0.021080036,5
0.47485414,-0.72783154,5
0.11789573,-1.1545063,5
0.79039997,1.4341948,5
-1.206455,-1.306236,5
-0.06711863,-0.8944322,5
1.5161535,-1.084699,5
0.64139336,0.013431107,5
0.44975185,0.13480711,5
-1.1764865,0.11812898,5
-0.081631124,-1.02996,5
-1.1210852,-1.2257311,5
0.044066094,-1.4881773,5
0.6098679,-0.39995664,5
-0.16371474,-1.1117995,5
-0.8400375,0.9988481,5
-0.49378815,0.647084,5
-1.1377473,-0.013011533,5
-0.6148386,-0.28762823,5
1.1608573,-0.51268524,5
0.31847814,0.74697757,5
-0.99312854,0.03638339,5
-2.6213138,-0.0061594895,5
0.24258833,0.7524553,5
-0.72317666,-0.4266172,5
0.26115963,-0.72270596,5
2.025226,-0.3644823,6
0.30236465,-0.72007257,6
2.70365,-0.2613056,6
1.3391893,-0.5566656,6
2.7374816,-0.256526,6
1.8549407,-0.39016113,6
1.6240869,-0.4712823,6
2.3527977,-0.3117458,6
2.675782,-0.26385877,6
1.6748995,-0.42644474,6
2.316116,-0.33275765,6
1.565457,-0.501758,6
2.7424943,-0.2567357,6
1.3996805,-0.5332838,6
2.728376,-0.25388187,6
2.2965908,-0.31800854,6
2.7405455,-0.25637195,6
2.3924305,-0.30488998,6
2.7406428,-0.26359615,6
2.6150298,-0.27313462,6
1.795476,-0.39953452,6
2.3732755,-0.30665544,6
2.6542218,-0.2684656,6
2.2509706,-0.32464674,6
1.4586064,-0.5199281,6
2.7315335,-0.2574723,6
2.7140524,-0.2806542,6
2.6696627,-0.27957082,6
2.689527,-0.2592311,6
1.8806627,-0.38034758,6
-0.16081193,0.06294311,7
-0.216587,0.09568282,7
-0.23206082,0.036974695,7
0.2963472,0.13284646,7
-0.5130737,0.10335897,7
-0.1432604,0.09682421,7
-0.21488094,0.07778054,7
0.7692126,1.4002643,7
-0.34712785,-0.006402176,7
-0.20676728,0.07229243,7
0.013635114,0.060757134,7
0.36854985,0.06304931,7
0.04418581,0.19924174,7
-0.534456,0.13769275,7
-0.2232041,0.16330165,7
-0.32716507,0.044262864,7
-0.23580612,0.053247813,7
-0.045510452,0.15155943,7
-0.23758967,0.07404287,7
-0.73360324,0.85330266,7
-0.38354594,0.39774746,7
-0.4649617,0.08202259,7
-0.43907762,-0.07084037,7
0.6352552,-0.14744113,7
-0.01015364,0.27670014,7
-0.4358912,0.13625368,7
-2.5872781,0.008958736,7
